table,fig,section,name,translation,carpet,type,note
30,1,,Тоггагабагы,Пряжка,Карабах,Кар.,
30,2,,Кемер,Пояс,Гырыз,К.-Ш,
30,3,,Кемербезейи,Поясное украшение,Пиребедиль,К.-Ш,В Карабахе этот элемент называют пуговицей.
30,4,,Белбагы,Пояс,Хила-Сураханы,К.-Ш,В ювелирном искусстве этот элемент носит название «гызыл кетебә».
30,5,,Тогга,Пояс,Биджо,К.-Ш,Здесь имеется в виду «пряжка».
30,6,,Тогга,Пояс,Казах,Г.-К,
30,7,,Тоггагабагы,Пряжка,Карабах,Кар.,
30,8,,Тоггагабагы,Пряжка,Карабах,Кар.,Больше характерен для казахских ковров.
30,9,,Тогга,Пояс,Казах,Г.-К,
30,10,,Тогга,Пояс,Казах,Г.-К,
31,1,,Сырга,Сережка,Фахралы,Г.-К,
31,2,,Сырга,Сережка,Ширван,К.-Ш,В ювелирном искусстве называют «пиала».
31,3,,Сырга,Сережка,Гаджигаиб,К.-Ш,
31,4,,Сырга,Сережка,Набур,К.-Ш,
31,5,,Сырга,Сережка,Куба,К.-Ш,В ювелирном искусстве называется «айпара» за свою форму в виде полумесяца.
31,6,,Сырга,Сережка,Куба,К.-Ш,
31,7,,Сырга,Сережка,Куба,К.-Ш,
31,8,,Сырга,Сережка,Гырыз,К.-Ш,
31,9,,Сырга,Сережка,Куба,К.-Ш,"В ювелирном искусстве наз. «саллама», т. е. висящая."
31,10,,Сырга,Сережка,Куба,К.-Ш,"В ювелирном искусстве наз. «саллама», т. е. висящая."
31,11,,Сырга,Сережка,Фахралы,Г.-К,Напоминает фигуру Будды в китайских миниатюрах.
31,12,,Сырга,Сережка Гаджигаиб К.-Ш Этот элемент называется,«сюмбюль-дараг»,—,гребень-колос.
31,13,,Сырга,Сережка,Карабах,Кар.,
32,1,,Нахыш,Узор,Мугань,Кар.,"Можно предполагать, что это шкура животного."
32,2,,Дюйме,Пуговица,Карабах,Кар.,В ювелирном искусстве рельефные кружочки на поясе называются пуговицей.
32,3,,Пенджерә,Окно,Талыш,Кар.,
32,4,,Булут,Облако,Малыбейли,Кар.,Встречается также в китайских и среднеазиатских коврах.
32,5,,Чарх,Колесо,Бакы,К.-Ш,"Это изображение колеса, устанавливаемого в питьевых и нефтяных колодцах."
32,6,,Чарх,Колесо,Сальян,К.-Ш,
32,7,,Гую,чархы Колодезное колесо,Чичи,К.-Ш,
32,8,,Чарх,Колесо,Ширван,К.-Ш,
32,9,,?,,Ширван,К.-Ш,Напоминает корабль.
32,10,,?,,Бакы,К.-Ш,Напоминает парусник.
33,1,,Эрсин,Железная лопаточка для сгреб. теста внутри посуды,Бакы,К.-Ш,Напоминает молотильную доску.
33,2,,Гендил,Подвесная лампада,Мараза,К.-Ш,Встречается также в коврах «Тебриз» и «Шейх Сефи».
